Taxonomy / Feature	LDA score (log10)	Class	Mean (relative) abundance in that class	p-value
d__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Pseudonocardiales.f__Pseudonocardiaceae.g__Crossiella	3.391842649165197			-
d__Bacteria.p__Myxococcota.c__Myxococcia.o__Myxococcales.f__Anaeromyxobacteraceae.g__Anaeromyxobacter	3.6019223669725586	Organic	3.206416825157738	0.027486336
d__Archaea.p__Thermoplasmatota.c__Thermoplasmata.o__Marine_Group_II.f__Incertae_Sedis.g__Incertae_Sedis	3.4560695509639916			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Rhodospirillales.f__Magnetospirillaceae.g__Telmatospirillum	2.3759241150474484	Chemical	2.0759850802553235	0.029049022161940587
d__Bacteria.p__Planctomycetota.c__Pla3_lineage.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	2.8353167305092324			-
d__Bacteria.p__Chloroflexota.c__Chloroflexia.o__Thermomicrobiales.f__JG30_KF_CM45.g__Incertae_Sedis	4.070704907775614			-
d__Bacteria.p__Acidobacteriota.c__Subgroup_5.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	3.6356773498972785			-
d__Bacteria.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__Treponema	1.9480205580259229			-
d__Bacteria.p__Actinomycetota.c__Thermoleophilia.o__Solirubrobacterales.f__Solirubrobacteraceae.g__Conexibacter	4.262790848			-
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Microscillaceae.g__Chryseotalea	2.9815882674112375			-
d__Bacteria.p__Myxococcota.c__bacteriap25.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	3.728749715	Organic	3.2368526884610285	0.027486336
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Burkholderiales.f__SC_I_84.g__Incertae_Sedis	3.2332567645495365			-
d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Blastocatellales.f__Blastocatellaceae.g__JGI_0001001_H03	2.5178962769947493			-
d__Bacteria.p__Bacillota.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Culicoidibacter	1.5008630376351526			-
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Salinisphaerales.f__Nevskiaceae.g__Polycyclovorans	2.9116402629760576			-
d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__Incertae_Sedis.g__Incertae_Sedis	3.156001428676799			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Azospirillales.f__Incertae_Sedis.g__Incertae_Sedis	2.6469909540226118			-
d__Bacteria.p__Actinomycetota.c__Rubrobacteria.o__Rubrobacterales.f__Rubrobacteriaceae.g__Rubrobacter	3.929321779252732	Organic	3.589248752220225	0.014305878435429647
d__Bacteria.p__Acidobacteriota.c__Vicinamibacteria.o__Vicinamibacterales.f__Vicinamibacteraceae.g__Incertae_Sedis	4.310018542194129			-
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Rickettsiellales.f__Rickettsiellaceae.__	1.5008619363585727			-
d__Bacteria.p__Acidobacteriota.c__Vicinamibacteria.o__Vicinamibacterales.f__Vicinamibacteraceae.g__Luteitalea	2.588999033			-
d__Bacteria.p__Actinomycetota.c__Thermoleophilia.o__Solirubrobacterales.f__Solirubrobacteraceae.g__Parviterribacter	2.9602555308088276	Organic	2.601178721333156	0.012725353282910894
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Burkholderiales.f__Chromobacteriaceae.g__Paludibacterium	2.032342305858999			-
d__Bacteria.p__Bacillota.c__Sulfobacillia.o__Sulfobacillales.f__Sulfobacillaceae.g__Incertae_Sedis	3.5322714854524673	Chemical	3.2053123519955333	0.010515246
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Terriglobales.f__Koribacteraceae.g__Candidatus_Koribacter	3.131799131718572			-
d__Bacteria.p__Acidobacteriota.c__Thermoanaerobaculia.o__Thermoanaerobaculales.f__Thermoanaerobaculaceae.g__Subgroup_10	3.4199410549134406	Organic	2.930358263303613	0.026843629775969602
d__Bacteria.p__Candidatus_Kryptonia.c__Kryptonia.o__Kryptoniales.f__BSV26.g__Incertae_Sedis	2.526168889024295			-
d__Bacteria.p__Chloroflexota.c__Dehalococcoidia.o__SAR202_clade.f__Incertae_Sedis.g__Incertae_Sedis	2.102922616			-
d__Bacteria.p__Myxococcota.c__Polyangiia.o__Nannocystales.f__Nannocystaceae.__	1.9401951287322057			-
d__Bacteria.p__Bdellovibrionota.c__Oligoflexia.o__Oligoflexales.f__Oligoflexaceae.g__Oligoflexus	1.2790145594903821			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Hyphomicrobiaceae.g__Pedomicrobium	3.1579188666191462			-
d__Bacteria.p__Acidobacteriota.c__Acidobacteriae.o__Bryobacterales.f__Bryobacteraceae.__	2.044930574855771			-
d__Bacteria.p__Bacillota.c__Negativicutes.o__Veillonellales_Selenomonadales.f__Incertae_Sedis.g__Incertae_Sedis	1.7439015551817678			-
d__Bacteria.p__Spirochaetota.c__Spirochaetia.o__Spirochaetales.f__Spirochaetaceae.g__Termite_Treponema_cluster	3.064344088215663			-
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Niabella	1.5008619392249163			-
d__Bacteria.p__Elusimicrobiota.c__Elusimicrobia.o__Lineage_IV.f__Incertae_Sedis.g__Incertae_Sedis	3.0571655422820756			-
d__Bacteria.p__Chloroflexota.c__Chloroflexia.o__Chloroflexales.f__Chloroflexaceae.g__FFCH7168	2.963261071533521	Organic	2.586844890215081	0.024946643222908616
d__Bacteria.p__Myxococcota.c__Polyangiia.o__Polyangiales.f__BIrii41.g__Incertae_Sedis	3.2552113178289304			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Beijerinckiaceae.g__Enterovirga	1.5977719490191935			-
d__Bacteria.p__Myxococcota.c__Myxococcia.o__Myxococcales.f__Myxococcaceae.g__Incertae_Sedis	2.963261072484777			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Beijerinckiaceae.__	2.8663510334037046			-
d__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerocolumna	3.080646687198566			-
d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae.g__TM7a	2.857844301962573			-
d__Bacteria.p__Patescibacteria.c__Parcubacteria.o__Candidatus_Azambacteria.f__Incertae_Sedis.g__Incertae_Sedis	2.3301671346980712			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Puniceispirillales.f__Puniceispirillales_Incertae_Sedis.g__Constrictibacter	1.2790140998910842			-
d__Bacteria.p__Bacillota.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae.g__type_III	2.7841642248351683			-
d__Bacteria.p__Bacillota.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Niallia	4.222013851995995			-
d__Bacteria.p__Chloroflexota.c__Dehalococcoidia.o__S085.f__Incertae_Sedis.g__Incertae_Sedis	3.7146462978560577	Organic	3.1341296592624324	0.014305878435429647
d__Bacteria.p__Chloroflexota.c__Ktedonobacteria.o__Ktedonobacterales.f__Ktedonobacteraceae.g__BacC_u_018	2.522052481078398			-
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Sphingobacterium	2.345961053430667			-
d__Bacteria.p__Bacillota.c__Clostridia.o__Clostridia_vadinBB60_group.f__Incertae_Sedis.g__Incertae_Sedis	2.2605310938971277			-
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cytophagaceae.g__Sporocytophaga	2.597773052606219			-
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Burkholderiales.f__B1_7BS.g__Incertae_Sedis	2.6279679238119558			-
d__Bacteria.p__Armatimonadota.c__Armatimonadia.o__Armatimonadales.f__Armatimonadaceae.g__Incertae_Sedis	2.5800438119985722	Chemical	2.141305908363101	0.027486336
d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiia.o__Opitutales.f__Opitutaceae.g__Incertae_Sedis	1.279014103			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingomonas	3.874510464275025	Organic	3.4004868958427013	0.027486336
d__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Frankiales.f__Frankiaceae.g__Frankia	2.199833039923037			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Micavibrionales.f__Micavibrionaceae.g__Incertae_Sedis	2.0748941206139704			-
d__Bacteria.p__Bacillota.c__Bacilli.o__Paenibacillales.f__Paenibacillaceae.g__Oxalophagus	3.5025967095838246			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Acetobacterales.f__Acetobacteraceae.__	3.935431914422505	Chemical	3.502461466203477	0.014305878435429647
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Nemorincola	2.0571653524244837			-
d__Bacteria.p__Bacillota.c__Bacilli.o__Bacillales.f__Bacillaceae.__	4.123284287504913			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Caulobacterales.f__Hyphomonadaceae.g__SWB02	2.221022158366895			-
d__Bacteria.p__Cyanobacteriota.c__Vampirivibrionia.o__Vampirovibrionales.f__Incertae_Sedis.g__Incertae_Sedis	2.0449305680838794			-
d__Bacteria.p__Planctomycetota.c__BD7_11.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	2.9257446265374516			-
d__Bacteria.p__Actinomycetota.c__Acidimicrobiia.o__Microtrichales.f__Ilumatobacteraceae.g__Ilumatobacter	2.6652157715771327			-
d__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Micromonosporales.f__Micromonosporaceae.g__Actinoplanes	3.3110955266763207			-
d__Bacteria.p__Chloroflexota.c__Chloroflexia.o__Chloroflexales.f__Chloroflexaceae.g__Oscillochloris	1.9779841067749657			-
d__Bacteria.p__Myxococcota.c__Polyangiia.__.__.__	2.199832877701869			-
d__Bacteria.p__Myxococcota.__.__.__.__	1.5800450104681403			-
d__Bacteria.p__Pseudomonadota.c__Alphaproteobacteria.o__Hyphomicrobiales.f__Incertae_Sedis.g__Incertae_Sedis	2.6012336159663123			-
d__Bacteria.p__MBNT15.c__Incertae_Sedis.o__Incertae_Sedis.f__Incertae_Sedis.g__Incertae_Sedis	2.249051042			-
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Lysobacterales.f__Lysobacteraceae.__	1.843285114985849			-
d__Bacteria.p__Thermodesulfobacteriota.c__Desulfuromonadia.o__PB19.f__Incertae_Sedis.g__Incertae_Sedis	1.1029232983211343			-
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Hymenobacteraceae.g__Pontibacter	1.4039539821671367			-
d__Bacteria.p__Bacillota.c__Clostridia.o__Clostridiales.f__Oxobacteraceae.g__Oxobacter	2.221022154658851			0.029049022161940587
d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Isosphaerales.f__Isosphaeraceae.__	3.1241123040950507			-
d__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Frankiales.f__Geodermatophilaceae.g__Blastococcus	2.8312767107874866	Organic	2.422921479847009	0.046251427
